municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Almagro,-34.61098,-58.417856,53.0,48.0,2.0,128260.0
Villa Crespo,-34.5972961,-58.4481783,95.0,110.0,5.0,150000.0
Barrio Norte,-34.5978249,-58.416439,50.0,45.0,1.0,136000.0
Palermo,-34.5988783,-58.4320965,104.0,95.0,4.0,210000.0
Boedo,-34.626917,-58.425295,58.0,50.0,2.0,130730.17
Belgrano,,,218.0,168.0,4.0,375000.0
Almagro,-34.6015602,-58.4343171,79.0,70.0,4.0,156000.0
Caballito,-34.6207509,-58.4365858,65.0,62.0,4.0,165000.0
Boedo,-34.6267687,-58.4252038,39.0,35.0,,76095.39
Caballito,-34.608774,-58.431192,129.0,115.0,4.0,385600.0
Villa Urquiza,-34.5688712,-58.4884216,41.0,38.0,1.0,94635.0
Recoleta,-34.590836,-58.389015,42.0,36.0,1.0,184150.0
Once,-34.6146153,-58.4040591,34.0,34.0,,64000.0
Palermo,-34.5877285,-58.4112605,115.0,75.0,3.0,280000.0
Belgrano,-34.5631975,-58.4642925,43.0,43.0,1.0,106000.0
Caballito,-34.6119413,-58.4423251,57.0,48.0,,99000.0
Parque Centenario,-34.60808733,-58.43089266,50.0,46.0,2.0,105500.0
Palermo,-34.5831329,-58.4208369,63.0,61.0,3.0,165000.0
Almagro,-34.6132035,-58.4120075,85.0,85.0,3.0,120000.0
Barrio Norte,-34.5889201,-58.4002698,43.0,35.0,1.0,149000.0
Villa Luro,-34.6385261,-58.5058609,104.0,63.0,,185000.0
Colegiales,-34.5817888,-58.449509,49.0,43.0,2.0,122000.0
Nuñez,-34.5427503,-58.4601452,137.0,47.0,2.0,181000.0
Barrio Norte,-34.5870824,-58.408834,84.0,77.0,2.0,330000.0
Once,-34.6120655,-58.4057337,85.0,85.0,4.0,150000.0
Saavedra,-34.5444571,-58.4790724,53.0,47.0,2.0,115000.0
Nuñez,-34.5455744057,-58.4624974392,214.0,125.0,4.0,335500.0
Flores,-34.6256447,-58.4611155,42.0,38.0,,83850.0
Parque Chacabuco,-34.6429903,-58.4386944,128.0,85.0,3.0,195514.05
Palermo,-34.5774559,-58.4247302,45.0,40.0,1.0,107000.0
Belgrano,-34.569348,-58.442799,148.0,72.0,3.0,189000.0
Nuñez,-34.545956,-58.470246,62.0,54.0,3.0,139500.0
Villa General Mitre,-34.6066665,-58.4661483,60.0,60.0,,92000.0
Belgrano,-34.5547858,-58.4510472,142.0,142.0,,370000.0
Flores,-34.6300503,-58.4537324,67.0,60.0,3.0,230000.0
Monserrat,-34.6177447,-58.3830086,58.0,49.0,,107000.0
Villa Ortuzar,-34.5783681,-58.4674728,58.0,54.0,2.0,134000.0
Villa Devoto,-34.6182787,-58.5005212,51.0,45.0,2.0,97000.0
Palermo,-34.5746861,-58.4204026,95.0,86.0,3.0,370000.0
Villa Crespo,-34.5977228,-58.4304234,37.0,34.0,1.0,82393.28
Belgrano,-34.5556438146,-58.4626030519,108.0,108.0,,189000.0
Saavedra,-34.5469954989,-58.4787410582,40.0,35.0,1.0,66605.0
Almagro,-34.6044676,-58.4147628,62.0,51.0,2.0,110000.0
Recoleta,-34.5942993509,-58.3827531672,110.0,101.0,3.0,280000.0
Barrio Norte,-34.5992637343,-58.3944425,42.0,42.0,,100000.0
Colegiales,-34.5822701,-58.4497051,121.0,84.0,3.0,213000.0
Saavedra,-34.5538467,-58.4920942,103.0,85.0,4.0,215315.1
Floresta,-34.6344407,-58.4747469,70.0,61.0,2.0,122000.0
Palermo,-34.5814285,-58.4336199,41.0,34.0,2.0,120000.0
Villa Urquiza,-34.5688712,-58.4884216,44.0,40.0,1.0,95164.0
Balvanera,-34.6240354,-58.4042052,54.0,50.0,2.0,125000.0
Recoleta,-34.5901166454,-58.3940806918,44.0,44.0,,122000.0
Villa Lugano,,,68.0,68.0,4.0,60000.0
Recoleta,-34.5933674,-58.3918794,98.0,94.0,3.0,255000.0
Balvanera,-34.6037137392,-58.3815808896,50.0,40.0,2.0,99538.0
Belgrano,-34.571953,-58.474451,35.0,35.0,1.0,80000.0
Flores,-34.6205608,-58.3945161,75.0,64.0,,175000.0
Nuñez,-34.5519084,-58.4685759,65.0,56.0,2.0,162233.79
San Cristobal,-34.6204532,-58.4029587,55.0,37.0,,114998.09
Caballito,-34.6118061,-58.43886,100.0,95.0,4.0,199500.0
Almagro,-34.6026363624,-58.4264703397,58.0,58.0,3.0,125900.0
Belgrano,-34.5599543233,-58.4529212466,89.0,86.0,,178000.0
Almagro,-34.6125486,-58.4329775,73.0,59.0,2.0,152000.0
Floresta,-34.6252894049,-58.4803381387,55.0,51.0,3.0,98000.0
Villa Crespo,-34.6001483,-58.4350161,50.0,50.0,3.0,125000.0
Villa Crespo,-34.6013646,-58.4348718,53.0,44.0,2.0,150277.0
San Cristobal,-34.6267858,-58.4253358,39.0,35.0,1.0,91814.31
San Nicolás,-34.604215,-58.383689,46.0,46.0,4.0,72000.0
Barracas,-34.637261,-58.36907,42.0,38.0,1.0,84062.58
Villa Crespo,-34.597101,-58.437714,39.0,39.0,2.0,64900.0
San Nicolás,-34.6017006,-58.388562,58.0,58.0,,137000.0
Almagro,-34.6038236,-58.4272911,74.0,74.0,3.0,138000.0
Caballito,-34.6176481,-58.4619167,50.0,45.0,1.0,111530.32
Caballito,-34.6262604,-58.4460036,128.0,117.0,4.0,390000.0
Villa Crespo,-34.6023526,-58.4344367,76.0,66.0,4.0,159500.0
Villa del Parque,-34.5976419,-58.4887663,70.0,60.0,3.0,175000.0
Nuñez,-34.5443763617,-58.4591152317,86.0,86.0,4.0,309000.0
Villa Crespo,-34.5974114,-58.4473135,60.0,60.0,3.0,95000.0
Balvanera,-34.6147916,-58.4061783,47.0,44.0,,87000.0
Caballito,-34.6253319,-58.4446144,38.0,38.0,,73000.0
Belgrano,-34.5620844,-58.4566864,37.0,37.0,1.0,105485.0
Las Cañitas,-34.567984,-58.4337562,97.0,82.0,3.0,382015.0
Palermo,-34.5907652,-58.4172571,61.0,56.0,,174000.0
Almagro,-34.6054382,-58.413499,56.0,50.0,3.0,120000.0
Caballito,-34.6097224,-58.430979,64.0,45.0,2.0,122000.0
Villa Devoto,-34.6088585,-58.5186905,152.0,134.0,5.0,335000.0
Almagro,-34.6045568,-58.4297968,41.0,36.0,2.0,83000.0
Villa Crespo,-34.5972063,-58.4416496,50.0,50.0,,130000.0
Palermo,,,160.0,145.0,3.0,320000.0
Belgrano,-34.5595420674,-58.4640609983,40.0,40.0,3.0,95000.0
Colegiales,-34.5760392,-58.4569527,76.0,55.0,3.0,205000.0
Balvanera,-34.6131943816,-58.4010569656,175.0,153.0,,198200.0
Villa Urquiza,-34.5742412,-58.4882355,50.0,50.0,3.0,90000.0
Once,-34.6112232,-58.41567,70.0,70.0,3.0,125000.0
San Nicolás,-34.6077796,-58.3891709,111.0,103.0,3.0,145000.0
Belgrano,-34.5691963,-58.4453972,38.0,35.0,1.0,114000.0
Balvanera,-34.6028196,-58.4050207,39.0,39.0,,108600.0
Barrio Norte,-34.6022019,-58.3976113,86.0,86.0,4.0,157000.0
Villa Pueyrredón,-34.5848617389,-58.4892838222,38.0,36.0,,60000.0
Caballito,-34.6209278,-58.4458736,43.0,40.0,,97000.0
Belgrano,-34.6037137392,-58.3815808896,113.0,93.0,4.0,310000.0
Constitución,-34.6261244,-58.3859524,57.0,49.0,,101613.98
Colegiales,-34.5862322,-58.4491936,55.0,40.0,2.0,135000.0
Belgrano,-34.5585253,-58.4513614,74.0,67.0,3.0,220000.0
Almagro,-34.6086522,-58.4193876,96.0,96.0,4.0,185000.0
Retiro,-34.5963329,-58.3748272,72.0,58.0,2.0,170000.0
Colegiales,-34.574537,-58.4554388,84.0,68.0,3.0,227473.79
San Telmo,,,39.0,34.0,1.0,85000.0
Versalles,-34.6316435,-58.5192618,75.0,75.0,4.0,150000.0
Nuñez,-34.5500232,-58.4634115,73.0,70.0,4.0,180000.0
Belgrano,-34.5602098434,-58.4438492037,98.0,73.0,,331000.0
San Nicolás,-34.6037137392,-58.3815808896,120.0,90.0,5.0,140000.0
Villa Crespo,-34.6039994,-58.4557835,44.0,41.0,1.0,95000.0
Villa del Parque,-34.6121896,-58.4779525,110.0,84.0,3.0,155000.0
Flores,-34.6160275,-58.4673425,36.0,36.0,1.0,68000.0
Villa Luro,,,80.0,75.0,4.0,145000.0
Colegiales,-34.5819231,-58.4540536,150.0,105.0,3.0,230000.0
San Cristobal,-34.6184962081,-58.4064497116,36.0,35.0,,67600.0
Belgrano,-34.5660741,-58.4372368,68.0,63.0,3.0,195000.0
Balvanera,-34.6149042601,-58.3981135774,38.0,38.0,,77000.0
Villa Urquiza,-34.5720545,-58.4745649,94.0,94.0,3.0,298000.0
Belgrano,-34.5590984,-58.454162,156.0,156.0,4.0,320000.0
Constitución,-34.6226764,-58.3898616,59.0,59.0,,85000.0
Congreso,-34.6074047747,-58.3907823249,75.0,75.0,3.0,133000.0
Flores,-34.6266172,-58.4599658,38.0,35.0,1.0,93327.01
Barracas,-34.633464,-58.368463,37.0,37.0,2.0,63000.0
Parque Avellaneda,-34.647382,-58.4772734,48.0,42.0,,87000.0
Coghlan,-34.55826,-58.478587,45.0,36.0,,64651.88
Balvanera,-34.5999764,-58.4037104,77.0,77.0,3.0,195000.0
Villa Urquiza,-34.5780621,-58.4952915,72.0,67.0,3.0,169500.0
Once,-34.6135876,-58.4107896,90.0,90.0,5.0,129000.0
Saavedra,-34.5468894557,-58.4786123121,70.0,66.0,2.0,100306.0
Villa Crespo,-34.6070921,-58.4306168,35.0,35.0,2.0,86000.0
Palermo,-34.5777784,-58.4351583,38.0,34.0,1.0,112677.0
Palermo,-34.5817176348,-58.4486236993,50.0,45.0,2.0,145000.0
